huā,flower; blossom
I; me; my,wǒ
to be (only connecting nouns),sh
to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),ài
prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,lǎo
teacher; master; expert; model; army division; (old) troops; to dispatch troops,shī
same,tóng
language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 67,wén
school; military officer; CL:所[suo3],xiào
student; schoolchild,xuéshēng
teacher,位[wei4],lǎoshī
to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4],tóngxué
Chinese language,zhōngwén
school; CL:所[suo3],xuéxiào
to learn; to study,xuéxí
(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as,jiùshì
romance; love (romantic),份[fen4],àiqíng
rich,yǒuqián
boss,lǎobǎn
boy friend,nánpéngyǒu
company,gōngsī
money,qián
dish,cài
========================================
========================================
========================================
学,xué
生,shēng
我,wǒ
是,sh
爱,ài
老,lǎo
师,shī
同,tóng
文,wén
校,xiào
这时,zhèshí
平时,píngshí
学生,xuéshēng
老师,lǎoshī
同学,tóngxué
中文,zhōngwén
学校,xuéxiào
学习,xuéxí
就是,jiùshì
爱情,àiqíng
有钱,yǒuqián
老板,lǎobǎn
男朋友,nánpéngyǒu
公司,gōngsī
钱,qián
菜,cài


========================================

========================================
========================================
========================================

========================================
========================================
========================================
========================================
========================================
========================================
========================================
========================================
========================================
========================================
========================================
========================================








========================================

========================================
========================================
========================================





gōngzuò,to work; (of a machine) to operate; job; work; task,份[fen4],項|项[xiang4]
xūyào,to need; to want; to demand; to require; requirement; need
zhèxiē,these
qiántiān,the day before yesterday
wèilái,future; tomorrow; approaching; coming; pending
zìyóu,freedom; free; liberty
fēijī,airplane; CL:架[jia4]
zhèlǐ,here
xīnlǐ,chest; heart; mind
nàlǐ,there; that place
páxíng,to crawl; to creep
lǚyóu,trip; journey; tourism; travel; tour; to travel
sēnlín,forest; CL:片[pian4]
zì,self; oneself; from; since; naturally; surely
fēi,to fly
lǐ,in; inside
pá,to crawl; to climb; to get up or sit up
yóu,swim walk; to tour; to roam; to travel
lín,woods; forest; CL:片[pian4]; circle(s) (i.e. specific group of people); a collection (of similar things)
========================================
to work; (of a machine) to operate; job; work; task,份[fen4],項|项[xiang4],gōngzuò
to need; to want; to demand; to require; requirement; need,xūyào
these,zhèxiē
the day before yesterday,qiántiān
future; tomorrow; approaching; coming; pending,wèilái
freedom; free; liberty,zìyóu
airplane; CL:架[jia4],fēijī
here,zhèlǐ
chest; heart; mind,xīnlǐ
there; that place,nàlǐ
to crawl; to creep,páxíng
trip; journey; tourism; travel; tour; to travel,lǚyóu
forest; CL:片[pian4],sēnlín
self; oneself; from; since; naturally; surely,zì
to fly,fēi
in; inside,lǐ
to crawl; to climb; to get up or sit up,pá
to swim; to tour; to roam; to travel,yóu
woods; forest; CL:片[pian4]; circle(s) (i.e. specific group of people); a collection (of similar things),lín
========================================
========================================
========================================
自由,zìyóu
飞机,fēijī
这里,zhèlǐ
心里,xīnlǐ
那里,nàlǐ
爬行,páxíng
旅游,lǚyóu
森林,sēnlín
自,zì
飞,fēi
里,lǐ
爬,pá
游,yóu
林,lín
工作,gōngzuò
需要,xūyào
这些,zhèxiē
前天,qiántiān
未来,wèilái


========================================

========================================
========================================
========================================














de,Structural particle modifying nouns
shuō,to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory)
shì,to be (only connecting nouns)
sè,color
huā,flower; blossom; also pr. [wei3]
mā,ma; mom; mother
mǎ,horse; horse or cavalry piece in Chinese chess; knight in Western chess
niú,ox; cow; bull; (slang) awesome
yáng,sheep; goat
yú,fish
chóng,lower form of animal life, including insects, insect larvae, worms and similar creatures
niǎo,bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam
cǎo,grass
huáng,yellow; pornographic; to fall through
bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera
hēi,black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing)
lǜ,green
hóng,red; popular; revolutionary; bonus
lán,blue; indigo plant
mǎshàng,at once; right away; immediately; on horseback (i.e. by military force)
niúnǎi,cow's milk; CL:瓶[ping2],杯[bei1]
nǎiniú,milk cow; dairy cow
shānyáng,goat; (gymnastics) small-sized vaulting horse
miányáng,sheep
diàoyú,to fish (with line and hook); to dupe
kūnchóng,insect; CL:隻|只[zhi1],群[qun2],堆[dui1]
xiǎoniǎo,penis (kiddie term)
míngbái,clear; obvious; unequivocal; to understand; to realize
lǜsè,green
huánghé,Yellow River or Huang He
báitiān,daytime; during the day; day
hóngsè,red (color); revolutionary
cǎoyuán,grassland; prairie; CL:片[pian4]
lǜhuà,to make green with plants; to reforest
hēiàn,dark; darkly; darkness
lánsè,blue (color)
cǎoàn,draft (legislation, proposal etc)
========================================
Structural particle modifying nouns,de
to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory),shuō
to be (only connecting nouns),shì
color,sè
flower; blossom; also pr. [wei3],huā
ma; mom; mother,mā
horse; horse or cavalry piece in Chinese chess; knight in Western chess,mǎ
ox; cow; bull; (slang) awesome,niú
sheep; goat,yáng
fish,yú
lower form of animal life, including insects, insect larvae, worms and similar creatures,chóng
bird; CL:隻|只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam,niǎo
grass,cǎo
yellow; pornographic; to fall through,huáng
white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera,bái
black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing),hēi
green,lǜ
red; popular; revolutionary; bonus,hóng
blue; indigo plant,lán
at once; right away; immediately; on horseback (i.e. by military force),mǎshàng
cow's milk; CL:瓶[ping2],杯[bei1],niúnǎi
milk cow; dairy cow,nǎiniú
goat; (gymnastics) small-sized vaulting horse,shānyáng
sheep,miányáng
to fish (with line and hook); to dupe,diàoyú
insect; CL:隻|只[zhi1],群[qun2],堆[dui1],kūnchóng
penis (kiddie term),xiǎoniǎo
clear; obvious; unequivocal; to understand; to realize,míngbái
green,lǜsè
Yellow River or Huang He,huánghé
daytime; during the day; day,báitiān
red (color); revolutionary,hóngsè
grassland; prairie; CL:片[pian4],cǎoyuán
to make green with plants; to reforest,lǜhuà
dark; darkly; darkness,hēiàn
blue (color),lánsè
draft (legislation, proposal etc),cǎoàn
========================================
========================================
========================================
的,de
说,shuō
是,shì
色,sè
花,huā
妈,mā
马,mǎ
牛,niú
羊,yáng
鱼,yú
虫,chóng
鸟,niǎo
草,cǎo
黄,huáng
白,bái
黑,hēi
绿,lǜ
红,hóng
蓝,lán
马上,mǎshàng
牛奶,niúnǎi
奶牛,nǎiniú
山羊,shānyáng
绵羊,miányáng
钓鱼,diàoyú
昆虫,kūnchóng
小鸟,xiǎoniǎo
明白,míngbái
绿色,lǜsè
黄河,huánghé
白天,báitiān
红色,hóngsè
草原,cǎoyuán
绿化,lǜhuà
黑暗,hēiàn
蓝色,lánsè
草案,cǎoàn
========================================






























fēng,wind
yún,cloud
yǔ,to rain; (of rain, snow etc) to fall
xuě,snow; snowfall
diàn,electric; electricity; electrical
tiān,day; sky; heaven
dì,earth; ground; field; place; land
chūn,spring (time)
xià,summer
qiū,autumn
dōng,winter
gānjìng,clean; neat
jiātíng,family; household
yuánzhūbǐ,ballpoint pen
zhǒnglèi,kind; type
huāyáng,variety; way of doing thing; trick
guāfēng,blow wind
fēnggé,style
yúnnán,Yunnan Province
yīchángyǔ,one rain
bīngxuě,ice and snow
diànbīngxiāng,refrigerator
diànhuà,telephone
diànfànguō,electric cooker
diànfēngshàn,electric fan
yītiān,one day
jīntiān,today
tiānqì,weather
qíngtiān,sunny day
dìqū,district; area; region; suburb
chūntiān,spring season
chūnjié,Spring Festival
xiàtiān,summer season
qiūtiān,autumn season
dōngtiān,winter season
wǒèle,hungry
māmalǎole,mum is old
xiàyǔle,it rains
nǐyǒunǚpéngyoulema,do you have girl friend?
wǒbùmǎile,i will not buy it
wǒbùhuíjiāchīfànle,i am not coming home for dinner
měitiāndōu,(do something all the time) every day
========================================
wind,fēng
cloud,yún
to rain; (of rain, snow etc) to fall,yǔ
snow; snowfall,xuě
electric; electricity; electrical,diàn
day; sky; heaven,tiān
earth; ground; field; place; land,dì
spring (time),chūn
summer,xià
autumn,qiū
winter,dōng
clean; neat,gānjìng
family; household,jiātíng
ballpoint pen,yuánzhūbǐ
kind; type,zhǒnglèi
variety; way of doing thing; trick,huāyáng
blow wind,guāfēng
style,fēnggé
Yunnan Province,yúnnán
one rain,yīchángyǔ
ice and snow,bīngxuě
refrigerator,diànbīngxiāng
telephone,diànhuà
electric cooker,diànfànguō
electric fan,diànfēngshàn
one day,yītiān
today,jīntiān
weather,tiānqì
sunny day,qíngtiān
district; area; region; suburb,dìqū
spring season,chūntiān
Spring Festival,chūnjié
summer season,xiàtiān
autumn season,qiūtiān
winter season,dōngtiān
hungry,wǒèle
mum is old,māmalǎole
it rains,xiàyǔle
do you have girl friend?,nǐyǒunǚpéngyoulema
i will not buy it,wǒbùmǎile
i am not coming home for dinner,wǒbùhuíjiāchīfànle
(do something all the time) every day,měitiāndōu
========================================
========================================
========================================
风,fēng
云,yún
雨,yǔ
雪,xuě
电,diàn
天,tiān
地,dì
春,chūn
夏,xià
秋,qiū
冬,dōng
干净,gānjìng
家庭,jiātíng
圆珠笔,yuánzhūbǐ
种类,zhǒnglèi
花样,huāyáng
刮风,guāfēng
风格,fēnggé
云南,yúnnán
一场雨,yīchángyǔ
冰雪,bīngxuě
电冰箱,diànbīngxiāng
电话,diànhuà
电饭锅,diànfànguō
电风扇,diànfēngshàn
一天,yītiān
今天,jīntiān
天气,tiānqì
晴天,qíngtiān
地区,dìqū
春天,chūntiān
春节,chūnjié
夏天,xiàtiān
秋天,qiūtiān
冬天,dōngtiān
我饿了,wǒèle
妈妈老了,māmalǎole
下雨了,xiàyǔle
你有女朋友了吗,nǐyǒunǚpéngyoulema
我不买了,wǒbùmǎile
我不回家吃饭了,wǒbùhuíjiāchīfànle
每天都,měitiāndōu









chángqī,long term; long time; long range (of a forecast)
duōcháng,how long;how much time
xiěxiàlái,write down
wénzì,character; script; writing; written language; writing style; phraseology
míngzì,name (of a person or thing)
tāmen,they (for inanimate objects)
zuìhòu,final; last; finally; ultimate
zuìjìn,recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes)
liánmáng,promptly; at once
bāngmáng,to help; to lend a hand; to do a favor; to do a good turn
jímáng,hastily
shànghǎi,Shanghai municipality, central east China, abbr. to 滬|沪[Hu4]
shēnshang,on the body; at hand; among
wǎnshang,evening; night; in the evening
shàngwǔ,morning
zhōngguó,China
qízhōng,among; in; included among these
xiàmian,down;below;underneath
yīxià,(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once
zuǒbiān,left; the left side; to the left of
zuǒmiàn,left side
yòubiān,right side; right, to the right
yòumiàn,right side
zuǒyòu,left and right; nearby; approximately; attendant; to control; to influence
qǐlái,get up; (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5]
xiàlái,to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)
láidào,to come; to arrive
qùnián,last year
xiàqù,to go down; to descend; to go on; to continue; (of a servant) to withdraw
guòqù,in the past
shīqù,to lose
chūxiàn,to appear; to arise; to emerge; to show up
fāchū,to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)
jìnrù,to enter; to join; to go into
shōurù,to take in; income; revenue; CL:筆|笔[bi3],個|个[ge4]
chéngzuò,to ride (in a vehicle)
jiànlì,to establish; to set up; to found
lìjí,immediately
chénglì,to establish; to set up; to be tenable; to hold water
zǒuxiàng,to move towards; to head for
========================================
long term; long time; long range (of a forecast),chángqī
how long;how much time,duōcháng
write down,xiěxiàlái
character; script; writing; written language; writing style; phraseology,wénzì
name (of a person or thing),míngzì
they (for inanimate objects),tāmen
final; last; finally; ultimate,zuìhòu
recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes),zuìjìn
promptly; at once,liánmáng
to help; to lend a hand; to do a favor; to do a good turn,bāngmáng
hastily,jímáng
Shanghai municipality, central east China, abbr. to 滬|沪[Hu4],shànghǎi
on the body; at hand; among,shēnshang
evening; night; in the evening,wǎnshang
morning,shàngwǔ
China,zhōngguó
among; in; included among these,qízhōng
down;below;underneath,xiàmian
(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once,yīxià
left; the left side; to the left of,zuǒbiān
left side,zuǒmiàn
right side; right, to the right,yòubiān
right side,yòumiàn
left and right; nearby; approximately; attendant; to control; to influence,zuǒyòu
get up; (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5],qǐlái
to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders),xiàlái
to come; to arrive,láidào
last year,qùnián
to go down; to descend; to go on; to continue; (of a servant) to withdraw,xiàqù
in the past,guòqù
to lose,shīqù
to appear; to arise; to emerge; to show up,chūxiàn
to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh),fāchū
to enter; to join; to go into,jìnrù
